stem,race_id,距離,馬場種別,馬場,天候,頭数,レース名,等級
2025-02-23_小倉09R_高千穂特別,202510011009,1800,芝,良,曇,14,高千穂特別,
2025-02-23_小倉10R_和布刈特別,202510011010,1700,ダ,良,曇,14,和布刈特別,
2025-02-23_小倉11R_小倉大賞典,202510011011,1800,芝,良,曇,14,小倉大賞典,
2025-02-23_小倉12R_4歳以上1勝クラス,202510011012,1200,芝,良,曇,18,4歳以上1勝クラス,
2025-02-23_東京09R_ヒヤシンスS,202505010809,1600,ダ,良,晴,10,ヒヤシンスS,
2025-02-23_東京10R_アメジストS,202505010810,2000,芝,良,晴,12,アメジストS,
2025-02-23_東京11R_フェブラリーS,202505010811,1600,ダ,良,晴,16,フェブラリーS,
2025-02-23_東京12R_大島特別,202505010812,1400,ダ,良,曇,14,大島特別,
2025-03-01_中山09R_水仙賞,202506020109,2200,芝,良,晴,13,水仙賞,
2025-03-01_中山10R_春風S,202506020110,1200,ダ,良,晴,16,春風S,
2025-03-01_中山11R_オーシャンS,202506020111,1200,芝,良,晴,15,オーシャンS,
2025-03-01_中山12R_4歳以上2勝クラス,202506020112,1800,ダ,良,晴,14,4歳以上2勝クラス,
2025-03-01_小倉09R_背振山特別,202510011109,2600,芝,良,曇,16,背振山特別,
2025-03-01_小倉10R_西日本新聞杯,202510011110,1200,芝,良,曇,18,西日本新聞杯,
2025-03-01_小倉11R_早鞆特別,202510011111,1700,ダ,良,曇,15,早鞆特別,
2025-03-01_小倉12R_4歳以上1勝クラス,202510011112,1200,芝,良,曇,18,4歳以上1勝クラス,
2025-03-01_阪神09R_すみれS,202509010109,2200,芝,良,晴,8,すみれS,
2025-03-01_阪神10R_阪神競馬場リニューアルオープン記念,202509010110,3000,芝,良,晴,10,阪神競馬場リニューアルオープン記念,
2025-03-01_阪神11R_仁川S,202509010111,2000,ダ,良,晴,16,仁川S,
2025-03-01_阪神12R_4歳以上2勝クラス,202509010112,1400,芝,良,晴,15,4歳以上2勝クラス,
2025-03-02_中山09R_富里特別,202506020209,1800,芝,良,晴,11,富里特別,
2025-03-02_中山10R_アクアマリンS,202506020210,1200,芝,良,晴,16,アクアマリンS,
2025-03-02_中山11R_中山記念,202506020211,1800,芝,良,晴,16,中山記念,
2025-03-02_中山12R_4歳以上2勝クラス,202506020212,1200,ダ,良,晴,16,4歳以上2勝クラス,
2025-03-02_小倉09R_あざみ賞,202510011209,1200,芝,重,曇,18,あざみ賞,
2025-03-02_小倉10R_別府特別,202510011210,1800,芝,重,曇,16,別府特別,
2025-03-02_小倉11R_関門橋S,202510011211,2000,芝,重,曇,13,関門橋S,
2025-03-02_小倉12R_4歳以上1勝クラス,202510011212,1700,ダ,稍,曇,16,4歳以上1勝クラス,
2025-03-02_阪神09R_淡路特別,202509010209,2200,芝,良,小雨,9,淡路特別,
2025-03-02_阪神10R_伊丹S,202509010210,1800,ダ,良,小雨,10,伊丹S,
2025-03-02_阪神11R_チューリップ賞,202509010211,1600,芝,良,小雨,14,チューリップ賞,
2025-03-02_阪神12R_4歳以上2勝クラス,202509010212,1200,ダ,良,曇,16,4歳以上2勝クラス,
2025-03-08_中山09R_潮来特別,202506020309,2500,芝,良,曇,10,潮来特別,
2025-03-08_中山10R_上総S,202506020310,1800,ダ,稍,曇,16,上総S,
2025-03-08_中山11R_中山牝馬S,202506020311,1800,芝,良,曇,14,中山牝馬S,
2025-03-08_中山12R_4歳以上1勝クラス,202506020312,1600,芝,良,小雨,16,4歳以上1勝クラス,
2025-03-08_阪神09R_千里山特別,202509010309,2000,芝,良,曇,12,千里山特別,
2025-03-08_阪神10R_なにわS,202509010310,1200,ダ,良,曇,16,なにわS,
2025-03-08_阪神11R_フィリーズレビュー,202509010311,1400,芝,良,曇,18,フィリーズレビュー,
2025-03-08_阪神12R_4歳以上2勝クラス,202509010312,1200,芝,良,曇,11,4歳以上2勝クラス,
2025-03-09_中山09R_湾岸S,202506020409,2500,芝,稍,晴,12,湾岸S,
2025-03-09_中山10R_総武S,202506020410,1800,ダ,重,晴,16,総武S,
2025-03-09_中山11R_弥生賞ディープインパクト記念,202506020411,2000,芝,稍,晴,14,弥生賞ディープインパクト記念,
2025-03-09_中山12R_4歳以上2勝クラス,202506020412,1800,ダ,重,晴,15,4歳以上2勝クラス,
2025-03-09_阪神09R_アルメリア賞,202509010409,1800,芝,良,晴,8,アルメリア賞,
2025-03-09_阪神10R_淀屋橋S,202509010410,1200,芝,良,晴,12,淀屋橋S,
2025-03-09_阪神11R_大阪城S,202509010411,1800,芝,良,晴,14,大阪城S,
2025-03-09_阪神12R_4歳以上2勝クラス,202509010412,1400,ダ,良,晴,14,4歳以上2勝クラス,
2025-03-15_中京09R_伊良湖特別,202507020109,1200,ダ,良,小雨,16,伊良湖特別,
2025-03-15_中京10R_恋路ケ浜特別,202507020110,2000,芝,良,小雨,13,恋路ケ浜特別,
2025-03-15_中京11R_中京スポーツ杯,202507020111,1400,ダ,良,小雨,16,中京スポーツ杯,
2025-03-15_中京12R_4歳以上1勝クラス,202507020112,1400,芝,良,小雨,18,4歳以上1勝クラス,
2025-03-15_中山09R_阿見特別,202506020509,2400,ダ,稍,曇,14,阿見特別,
2025-03-15_中山10R_幕張S,202506020510,1600,芝,良,曇,13,幕張S,
2025-03-15_中山11R_アネモネS,202506020511,1600,芝,良,曇,12,アネモネS,
