騎手,粒度,条件,n,勝利数,複勝内数,勝率,複勝率,単勝回収率,信頼できる母数
菊沢,場×距離帯×馬場,東京/ダ/短距離(~1400),11,1,1,0.0909,0.0909,2.7818,False
▲和田陽,枠番,内枠(1-2),14,2,3,0.1429,0.2143,2.7786,False
田辺,場×距離帯×馬場,中山/ダ/マイル(1401-1800),13,2,2,0.1538,0.1538,2.7692,False
戸崎圭,場×距離帯×馬場,東京/ダ/マイル(1401-1800),30,6,14,0.2,0.4667,2.7633,False
内田博,脚質×距離帯,差し/短距離(~1400),36,2,5,0.0556,0.1389,2.7583,False
杉原,場×距離帯×馬場,小倉/芝/短距離(~1400),7,1,1,0.1429,0.1429,2.7571,False
川又,場×距離帯×馬場,京都/芝/短距離(~1400),10,1,1,0.1,0.1,2.74,False
小沢,場×距離帯×馬場,函館/ダ/マイル(1401-1800),5,1,1,0.2,0.2,2.74,False
太宰,枠番,外枠(7-8),45,3,8,0.0667,0.1778,2.72,False
今村,距離帯,中距離(1801-2200),7,1,1,0.1429,0.1429,2.7,False
富田,脚質,先行,53,4,11,0.0755,0.2075,2.6981,False
武藤,脚質×距離帯,差し/中距離(1801-2200),21,1,2,0.0476,0.0952,2.6857,False
富田,場,福島,26,2,7,0.0769,0.2692,2.6808,False
菊沢,脚質×距離帯,差し/短距離(~1400),105,10,24,0.0952,0.2286,2.6724,True
富田,脚質×距離帯,先行/短距離(~1400),29,3,8,0.1034,0.2759,2.669,False
シュタ,脚質,先行,20,2,5,0.1,0.25,2.655,False
荻野琢,枠番,内枠(1-2),17,1,2,0.0588,0.1176,2.6529,False
荻野琢,場,阪神,17,1,1,0.0588,0.0588,2.6529,False
団野,場×距離帯×馬場,小倉/芝/短距離(~1400),16,4,6,0.25,0.375,2.65,False
横山琉,場×距離帯×馬場,新潟/芝/中距離(1801-2200),14,2,4,0.1429,0.2857,2.65,False
三浦,場,京都,6,1,2,0.1667,0.3333,2.65,False
幸,場×距離帯×馬場,東京/芝/マイル(1401-1800),5,1,2,0.2,0.4,2.64,False
▲上里,脚質,逃げ,5,1,2,0.2,0.4,2.64,False
シュタ,場,東京,11,2,3,0.1818,0.2727,2.6364,False
川田,場×距離帯×馬場,阪神/芝/短距離(~1400),9,2,3,0.2222,0.3333,2.6222,False
藤岡佑,場×距離帯×馬場,京都/ダ/マイル(1401-1800),5,1,2,0.2,0.4,2.62,False
