騎手,粒度,条件,n,勝利数,複勝内数,勝率,複勝率,単勝回収率,信頼できる母数
プーシ,距離帯,中距離(1801-2200),11,0,2,0.0,0.1818,0.0,False
プーシ,枠番,内枠(1-2),11,0,1,0.0,0.0909,0.0,False
田山,場×距離帯×馬場,小倉/芝/短距離(~1400),11,0,3,0.0,0.2727,0.0,False
舟山,脚質×距離帯,先行/短距離(~1400),11,0,5,0.0,0.4545,0.0,False
△石神道,枠番,中枠(3-6),11,0,2,0.0,0.1818,0.0,False
△石神道,距離帯,短距離(~1400),11,0,1,0.0,0.0909,0.0,False
丸田,場,中京,10,0,0,0.0,0.0,0.0,False
▲長浜,枠番,外枠(7-8),10,0,2,0.0,0.2,0.0,False
小沢,場×距離帯×馬場,中京/ダ/マイル(1401-1800),10,0,2,0.0,0.2,0.0,False
高倉,脚質×距離帯,先行/マイル(1401-1800),10,0,3,0.0,0.3,0.0,False
田口,場×距離帯×馬場,中京/芝/中距離(1801-2200),10,0,2,0.0,0.2,0.0,False
酒井,場×距離帯×馬場,中京/芝/マイル(1401-1800),10,0,0,0.0,0.0,0.0,False
原田和,脚質×距離帯,差し/中距離(1801-2200),10,0,0,0.0,0.0,0.0,False
原,場×距離帯×馬場,中山/芝/中距離(1801-2200),10,0,2,0.0,0.2,0.0,False
木幡初,脚質×距離帯,先行/短距離(~1400),10,0,1,0.0,0.1,0.0,False
木幡巧,場×距離帯×馬場,中山/芝/短距離(~1400),10,0,0,0.0,0.0,0.0,False
佐々木,脚質,追込,10,0,2,0.0,0.2,0.0,False
▲石神道,脚質×距離帯,差し/マイル(1401-1800),10,0,1,0.0,0.1,0.0,False
木幡育,距離帯,マイル(1401-1800),10,0,0,0.0,0.0,0.0,False
長浜,距離帯,中距離(1801-2200),10,0,1,0.0,0.1,0.0,False
城戸,場,中京,10,0,0,0.0,0.0,0.0,False
藤岡佑,脚質,追込,10,0,1,0.0,0.1,0.0,False
北村宏,場×距離帯×馬場,中山/ダ/マイル(1401-1800),10,0,0,0.0,0.0,0.0,False
丸山,場×距離帯×馬場,中山/ダ/短距離(~1400),10,0,1,0.0,0.1,0.0,False
津村,脚質×距離帯,先行/長距離(2201~),10,0,3,0.0,0.3,0.0,False
長浜,脚質,追込,10,0,0,0.0,0.0,0.0,False
江田照,距離帯,長距離(2201~),10,0,1,0.0,0.1,0.0,False
江田照,脚質,逃げ,10,0,1,0.0,0.1,0.0,False
国分優,脚質,追込,10,0,0,0.0,0.0,0.0,False
鮫島駿,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),10,0,2,0.0,0.2,0.0,False
鮫島駿,場×距離帯×馬場,小倉/芝/中距離(1801-2200),10,0,2,0.0,0.2,0.0,False
吉田豊,脚質×距離帯,追込/マイル(1401-1800),10,0,1,0.0,0.1,0.0,False
川又,場,小倉,10,0,0,0.0,0.0,0.0,False
小林美,場,小倉,10,0,0,0.0,0.0,0.0,False
Mデム,距離帯,長距離(2201~),10,0,0,0.0,0.0,0.0,False
藤懸,場×距離帯×馬場,小倉/芝/短距離(~1400),10,0,3,0.0,0.3,0.0,False
泉谷,脚質×距離帯,先行/短距離(~1400),10,0,0,0.0,0.0,0.0,False
津村,場×距離帯×馬場,東京/芝/中距離(1801-2200),10,0,0,0.0,0.0,0.0,False
戸崎圭,場×距離帯×馬場,東京/芝/中距離(1801-2200),10,0,3,0.0,0.3,0.0,False
三浦,場×距離帯×馬場,東京/芝/中距離(1801-2200),10,0,1,0.0,0.1,0.0,False
▲橋木,脚質,差し,10,0,0,0.0,0.0,0.0,False
丸田,場×距離帯×馬場,東京/芝/マイル(1401-1800),10,0,0,0.0,0.0,0.0,False
酒井,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),10,0,2,0.0,0.2,0.0,False
佐藤,脚質,差し,10,0,2,0.0,0.2,0.0,False
三浦,場×距離帯×馬場,東京/芝/長距離(2201~),10,0,1,0.0,0.1,0.0,False
北村宏,場×距離帯×馬場,東京/芝/長距離(2201~),10,0,0,0.0,0.0,0.0,False
城戸,距離帯,短距離(~1400),10,0,0,0.0,0.0,0.0,False
高杉,場×距離帯×馬場,京都/ダ/中距離(1801-2200),10,0,0,0.0,0.0,0.0,False
川須,場×距離帯×馬場,京都/ダ/短距離(~1400),10,0,0,0.0,0.0,0.0,False
荻野琢,脚質×距離帯,先行/短距離(~1400),10,0,2,0.0,0.2,0.0,False
的場,距離帯,マイル(1401-1800),10,0,0,0.0,0.0,0.0,False
田辺,脚質×距離帯,差し/長距離(2201~),10,0,2,0.0,0.2,0.0,False
伊藤,脚質,先行,10,0,2,0.0,0.2,0.0,False
菅原明,脚質,逃げ,10,0,1,0.0,0.1,0.0,False
菱田,場,中山,10,0,2,0.0,0.2,0.0,False
小崎,脚質,追込,10,0,0,0.0,0.0,0.0,False
△吉村,場,阪神,10,0,0,0.0,0.0,0.0,False
富田,場×距離帯×馬場,阪神/ダ/短距離(~1400),10,0,1,0.0,0.1,0.0,False
シュタ,場,阪神,10,0,1,0.0,0.1,0.0,False
岩田康,脚質,追込,10,0,1,0.0,0.1,0.0,False
石橋脩,脚質,逃げ,10,0,1,0.0,0.1,0.0,False
原,脚質×距離帯,追込/マイル(1401-1800),10,0,0,0.0,0.0,0.0,False
渡辺竜,場,阪神,10,0,1,0.0,0.1,0.0,False
▲水沼,脚質,先行,10,0,1,0.0,0.1,0.0,False
菱田,脚質×距離帯,追込/マイル(1401-1800),10,0,0,0.0,0.0,0.0,False
和田竜,場,中京,10,0,3,0.0,0.3,0.0,False
上里,枠番,中枠(3-6),10,0,0,0.0,0.0,0.0,False
的場,脚質×距離帯,差し/短距離(~1400),10,0,0,0.0,0.0,0.0,False
田口,場×距離帯×馬場,阪神/芝/中距離(1801-2200),10,0,3,0.0,0.3,0.0,False
鮫島良,場,阪神,10,0,2,0.0,0.2,0.0,False
岩田康,場×距離帯×馬場,中山/ダ/短距離(~1400),10,0,1,0.0,0.1,0.0,False
▲遠藤,枠番,内枠(1-2),10,0,0,0.0,0.0,0.0,False
亀田,場×距離帯×馬場,福島/芝/短距離(~1400),10,0,1,0.0,0.1,0.0,False
丹内,場×距離帯×馬場,福島/芝/中距離(1801-2200),10,0,1,0.0,0.1,0.0,False
武藤,場×距離帯×馬場,福島/ダ/マイル(1401-1800),10,0,0,0.0,0.0,0.0,False
太宰,距離帯,長距離(2201~),10,0,4,0.0,0.4,0.0,False
今村,脚質,先行,10,0,1,0.0,0.1,0.0,False
横山琉,脚質×距離帯,先行/中距離(1801-2200),10,0,3,0.0,0.3,0.0,False
秋山稔,場,新潟,10,0,0,0.0,0.0,0.0,False
吉田豊,場×距離帯×馬場,東京/ダ/中距離(1801-2200),10,0,1,0.0,0.1,0.0,False
ディー,場×距離帯×馬場,東京/ダ/中距離(1801-2200),10,0,1,0.0,0.1,0.0,False
小沢,場×距離帯×馬場,新潟/芝/中距離(1801-2200),10,0,4,0.0,0.4,0.0,False
斎藤,場×距離帯×馬場,新潟/芝/中距離(1801-2200),10,0,1,0.0,0.1,0.0,False
嶋田,場×距離帯×馬場,新潟/ダ/短距離(~1400),10,0,3,0.0,0.3,0.0,False
丸田,場×距離帯×馬場,新潟/ダ/短距離(~1400),10,0,1,0.0,0.1,0.0,False
柴田大,場×距離帯×馬場,新潟/芝/中距離(1801-2200),10,0,1,0.0,0.1,0.0,False
石橋脩,場×距離帯×馬場,新潟/芝/中距離(1801-2200),10,0,2,0.0,0.2,0.0,False
▲石田,場×距離帯×馬場,新潟/ダ/短距離(~1400),10,0,2,0.0,0.2,0.0,False
江田照,場×距離帯×馬場,新潟/ダ/短距離(~1400),10,0,0,0.0,0.0,0.0,False
▲上里,場×距離帯×馬場,新潟/ダ/マイル(1401-1800),10,0,4,0.0,0.4,0.0,False
国分優,場×距離帯×馬場,阪神/ダ/短距離(~1400),10,0,0,0.0,0.0,0.0,False
黛,場×距離帯×馬場,函館/ダ/マイル(1401-1800),10,0,1,0.0,0.1,0.0,False
▲石田,場,東京,10,0,0,0.0,0.0,0.0,False
上里,脚質,差し,10,0,0,0.0,0.0,0.0,False
小林美,場×距離帯×馬場,函館/芝/短距離(~1400),10,0,0,0.0,0.0,0.0,False
中井,距離帯,中距離(1801-2200),10,0,1,0.0,0.1,0.0,False
池添,場×距離帯×馬場,函館/芝/短距離(~1400),10,0,1,0.0,0.1,0.0,False
黛,場×距離帯×馬場,札幌/ダ/マイル(1401-1800),10,0,3,0.0,0.3,0.0,False
池添,場×距離帯×馬場,札幌/芝/短距離(~1400),10,0,2,0.0,0.2,0.0,False
★谷原,場,新潟,10,0,0,0.0,0.0,0.0,False
石橋脩,場×距離帯×馬場,新潟/ダ/マイル(1401-1800),10,0,1,0.0,0.1,0.0,False
野中,場×距離帯×馬場,新潟/芝/中距離(1801-2200),10,0,1,0.0,0.1,0.0,False
舟山,距離帯,長距離(2201~),10,0,1,0.0,0.1,0.0,False
▲小林美,場,中山,10,0,3,0.0,0.3,0.0,False
菱田,距離帯,長距離(2201~),10,0,6,0.0,0.6,0.0,False
柴田善,場,東京,10,0,1,0.0,0.1,0.0,False
プーシ,枠番,外枠(7-8),10,0,1,0.0,0.1,0.0,False
ジェル,距離帯,マイル(1401-1800),10,0,3,0.0,0.3,0.0,False
ジェル,枠番,中枠(3-6),10,0,1,0.0,0.1,0.0,False
△柴田裕,脚質×距離帯,先行/短距離(~1400),10,0,1,0.0,0.1,0.0,False
△柴田裕,場,小倉,10,0,1,0.0,0.1,0.0,False
長浜,場,札幌,10,0,3,0.0,0.3,0.0,False
柴田裕,脚質×距離帯,差し/短距離(~1400),9,0,0,0.0,0.0,0.0,False
大野,脚質×距離帯,追込/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
木幡巧,脚質×距離帯,先行/中距離(1801-2200),9,0,2,0.0,0.2222,0.0,False
戸崎圭,脚質,追込,9,0,3,0.0,0.3333,0.0,False
木幡初,場,中山,9,0,3,0.0,0.3333,0.0,False
黛,場×距離帯×馬場,中山/ダ/短距離(~1400),9,0,0,0.0,0.0,0.0,False
中井,場×距離帯×馬場,中京/ダ/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
藤懸,距離帯,長距離(2201~),9,0,1,0.0,0.1111,0.0,False
酒井,脚質×距離帯,差し/長距離(2201~),9,0,0,0.0,0.0,0.0,False
川又,場,中京,9,0,2,0.0,0.2222,0.0,False
柴田大,脚質×距離帯,先行/中距離(1801-2200),9,0,0,0.0,0.0,0.0,False
Aルメ,枠番,内枠(1-2),9,0,2,0.0,0.2222,0.0,False
石川,場,中京,9,0,1,0.0,0.1111,0.0,False
▲柴田裕,距離帯,マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
木幡育,脚質×距離帯,差し/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
菅原隆,枠番,中枠(3-6),9,0,0,0.0,0.0,0.0,False
キング,脚質×距離帯,差し/中距離(1801-2200),9,0,3,0.0,0.3333,0.0,False
太宰,脚質,追込,9,0,0,0.0,0.0,0.0,False
▲橋木,枠番,外枠(7-8),9,0,0,0.0,0.0,0.0,False
団野,場×距離帯×馬場,中山/芝/マイル(1401-1800),9,0,1,0.0,0.1111,0.0,False
佐々木,脚質×距離帯,逃げ/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
西村太,脚質,先行,9,0,0,0.0,0.0,0.0,False
高倉,距離帯,中距離(1801-2200),9,0,0,0.0,0.0,0.0,False
松岡,場×距離帯×馬場,中山/芝/中距離(1801-2200),9,0,2,0.0,0.2222,0.0,False
柴田裕,場,小倉,9,0,0,0.0,0.0,0.0,False
柴田裕,脚質×距離帯,先行/短距離(~1400),9,0,0,0.0,0.0,0.0,False
柴田裕,枠番,内枠(1-2),9,0,0,0.0,0.0,0.0,False
橋木,脚質,差し,9,0,1,0.0,0.1111,0.0,False
橋木,枠番,中枠(3-6),9,0,1,0.0,0.1111,0.0,False
丸山,脚質×距離帯,差し/長距離(2201~),9,0,0,0.0,0.0,0.0,False
岩田望,場×距離帯×馬場,京都/芝/長距離(2201~),9,0,0,0.0,0.0,0.0,False
▲鷲頭,枠番,中枠(3-6),9,0,3,0.0,0.3333,0.0,False
川端,脚質,差し,9,0,0,0.0,0.0,0.0,False
川端,枠番,中枠(3-6),9,0,0,0.0,0.0,0.0,False
古川吉,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),9,0,1,0.0,0.1111,0.0,False
菱田,場×距離帯×馬場,小倉/芝/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
★河原田,場×距離帯×馬場,小倉/芝/短距離(~1400),9,0,0,0.0,0.0,0.0,False
▲石田,場×距離帯×馬場,小倉/芝/短距離(~1400),9,0,2,0.0,0.2222,0.0,False
▲石神道,場,小倉,9,0,0,0.0,0.0,0.0,False
石橋脩,場×距離帯×馬場,東京/芝/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
柴田大,場×距離帯×馬場,東京/芝/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
秋山稔,場×距離帯×馬場,小倉/芝/中距離(1801-2200),9,0,0,0.0,0.0,0.0,False
石神道,脚質×距離帯,差し/短距離(~1400),9,0,0,0.0,0.0,0.0,False
田辺,場×距離帯×馬場,東京/芝/短距離(~1400),9,0,2,0.0,0.2222,0.0,False
石橋脩,場×距離帯×馬場,東京/芝/短距離(~1400),9,0,0,0.0,0.0,0.0,False
杉原,脚質×距離帯,差し/長距離(2201~),9,0,0,0.0,0.0,0.0,False
松若,脚質×距離帯,差し/長距離(2201~),9,0,2,0.0,0.2222,0.0,False
小崎,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
佐藤,枠番,中枠(3-6),9,0,2,0.0,0.2222,0.0,False
柴田大,脚質×距離帯,先行/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
北村宏,脚質×距離帯,差し/長距離(2201~),9,0,0,0.0,0.0,0.0,False
野中,場×距離帯×馬場,東京/ダ/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
川又,場×距離帯×馬場,京都/ダ/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
中井,場×距離帯×馬場,京都/ダ/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
Mデム,場×距離帯×馬場,京都/芝/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
▲柴田裕,脚質×距離帯,差し/短距離(~1400),9,0,0,0.0,0.0,0.0,False
長岡,脚質,追込,9,0,0,0.0,0.0,0.0,False
古川奈,距離帯,中距離(1801-2200),9,0,2,0.0,0.2222,0.0,False
小林脩,距離帯,中距離(1801-2200),9,0,1,0.0,0.1111,0.0,False
岩田康,場×距離帯×馬場,京都/芝/中距離(1801-2200),9,0,2,0.0,0.2222,0.0,False
太宰,場×距離帯×馬場,小倉/芝/短距離(~1400),9,0,4,0.0,0.4444,0.0,False
的場,脚質×距離帯,差し/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
酒井,脚質,逃げ,9,0,2,0.0,0.2222,0.0,False
大野,脚質×距離帯,逃げ/短距離(~1400),9,0,0,0.0,0.0,0.0,False
太宰,場×距離帯×馬場,京都/ダ/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
西塚,距離帯,長距離(2201~),9,0,0,0.0,0.0,0.0,False
的場,脚質,追込,9,0,0,0.0,0.0,0.0,False
田辺,場×距離帯×馬場,東京/ダ/中距離(1801-2200),9,0,0,0.0,0.0,0.0,False
小林凌,枠番,外枠(7-8),9,0,0,0.0,0.0,0.0,False
石田,脚質,先行,9,0,1,0.0,0.1111,0.0,False
菊沢,脚質×距離帯,追込/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
松本,脚質,追込,9,0,0,0.0,0.0,0.0,False
松岡,脚質,追込,9,0,0,0.0,0.0,0.0,False
和田竜,距離帯,長距離(2201~),9,0,2,0.0,0.2222,0.0,False
水口,場,阪神,9,0,1,0.0,0.1111,0.0,False
和田竜,場×距離帯×馬場,阪神/芝/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
▲舟山,脚質×距離帯,差し/短距離(~1400),9,0,2,0.0,0.2222,0.0,False
鮫島駿,脚質,逃げ,9,0,1,0.0,0.1111,0.0,False
荻野極,場×距離帯×馬場,阪神/芝/短距離(~1400),9,0,3,0.0,0.3333,0.0,False
斎藤,場×距離帯×馬場,中京/ダ/短距離(~1400),9,0,2,0.0,0.2222,0.0,False
西塚,場×距離帯×馬場,中京/ダ/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
藤懸,場×距離帯×馬場,阪神/ダ/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
浜中,場×距離帯×馬場,阪神/ダ/マイル(1401-1800),9,0,4,0.0,0.4444,0.0,False
▲遠藤,脚質×距離帯,先行/短距離(~1400),9,0,0,0.0,0.0,0.0,False
渡辺竜,枠番,外枠(7-8),9,0,0,0.0,0.0,0.0,False
松若,脚質×距離帯,追込/中距離(1801-2200),9,0,0,0.0,0.0,0.0,False
川又,距離帯,中距離(1801-2200),9,0,1,0.0,0.1111,0.0,False
Mデム,場×距離帯×馬場,阪神/ダ/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
渡辺竜,距離帯,短距離(~1400),9,0,2,0.0,0.2222,0.0,False
丸田,場×距離帯×馬場,中山/ダ/短距離(~1400),9,0,0,0.0,0.0,0.0,False
▲水沼,枠番,内枠(1-2),9,0,0,0.0,0.0,0.0,False
富田,場×距離帯×馬場,阪神/芝/短距離(~1400),9,0,0,0.0,0.0,0.0,False
高杉,場×距離帯×馬場,阪神/ダ/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
長浜,脚質×距離帯,先行/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
長岡,場×距離帯×馬場,阪神/ダ/短距離(~1400),9,0,0,0.0,0.0,0.0,False
佐々木,場,阪神,9,0,4,0.0,0.4444,0.0,False
亀田,場×距離帯×馬場,阪神/ダ/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
野中,脚質×距離帯,追込/短距離(~1400),9,0,0,0.0,0.0,0.0,False
小沢,場×距離帯×馬場,福島/芝/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
横山琉,場×距離帯×馬場,福島/芝/マイル(1401-1800),9,0,3,0.0,0.3333,0.0,False
的場,場,福島,9,0,0,0.0,0.0,0.0,False
上里,距離帯,短距離(~1400),9,0,0,0.0,0.0,0.0,False
丸山,場×距離帯×馬場,福島/芝/中距離(1801-2200),9,0,3,0.0,0.3333,0.0,False
横山琉,場×距離帯×馬場,福島/芝/中距離(1801-2200),9,0,2,0.0,0.2222,0.0,False
中村,距離帯,長距離(2201~),9,0,2,0.0,0.2222,0.0,False
藤岡佑,場×距離帯×馬場,京都/ダ/短距離(~1400),9,0,3,0.0,0.3333,0.0,False
池添,場×距離帯×馬場,東京/芝/長距離(2201~),9,0,0,0.0,0.0,0.0,False
杉原,場×距離帯×馬場,福島/ダ/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
渡辺竜,脚質,差し,9,0,1,0.0,0.1111,0.0,False
丹内,場×距離帯×馬場,新潟/ダ/マイル(1401-1800),9,0,3,0.0,0.3333,0.0,False
菅原明,場×距離帯×馬場,東京/ダ/中距離(1801-2200),9,0,1,0.0,0.1111,0.0,False
川田,場×距離帯×馬場,京都/芝/短距離(~1400),9,0,4,0.0,0.4444,0.0,False
鮫島駿,場×距離帯×馬場,京都/芝/長距離(2201~),9,0,2,0.0,0.2222,0.0,False
小沢,場×距離帯×馬場,新潟/ダ/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
丹内,場×距離帯×馬場,新潟/芝/中距離(1801-2200),9,0,1,0.0,0.1111,0.0,False
団野,場×距離帯×馬場,京都/芝/長距離(2201~),9,0,1,0.0,0.1111,0.0,False
藤懸,脚質×距離帯,追込/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
柴田裕,場,新潟,9,0,1,0.0,0.1111,0.0,False
★河原田,場,新潟,9,0,1,0.0,0.1111,0.0,False
秋山稔,脚質×距離帯,先行/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
▲石神道,場×距離帯×馬場,新潟/ダ/短距離(~1400),9,0,0,0.0,0.0,0.0,False
ディー,脚質×距離帯,差し/長距離(2201~),9,0,1,0.0,0.1111,0.0,False
吉村,脚質,逃げ,9,0,1,0.0,0.1111,0.0,False
横山琉,場×距離帯×馬場,新潟/芝/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
遠藤,脚質,差し,9,0,0,0.0,0.0,0.0,False
木幡初,脚質×距離帯,差し/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
▲上里,脚質×距離帯,差し/マイル(1401-1800),9,0,3,0.0,0.3333,0.0,False
丹内,場×距離帯×馬場,東京/芝/長距離(2201~),9,0,0,0.0,0.0,0.0,False
丸山,場×距離帯×馬場,東京/芝/マイル(1401-1800),9,0,1,0.0,0.1111,0.0,False
小崎,場×距離帯×馬場,阪神/芝/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
川又,場,函館,9,0,0,0.0,0.0,0.0,False
鷲頭,脚質,先行,9,0,0,0.0,0.0,0.0,False
国分恭,場,函館,9,0,0,0.0,0.0,0.0,False
中井,脚質×距離帯,先行/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
角田和,脚質,追込,9,0,0,0.0,0.0,0.0,False
原,場×距離帯×馬場,福島/芝/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
津村,場×距離帯×馬場,福島/ダ/短距離(~1400),9,0,2,0.0,0.2222,0.0,False
石川,場×距離帯×馬場,福島/ダ/短距離(~1400),9,0,3,0.0,0.3333,0.0,False
亀田,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
▲水沼,脚質,追込,9,0,0,0.0,0.0,0.0,False
▲小林美,脚質×距離帯,差し/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
吉田隼,場×距離帯×馬場,札幌/芝/マイル(1401-1800),9,0,2,0.0,0.2222,0.0,False
武豊,場×距離帯×馬場,札幌/芝/中距離(1801-2200),9,0,1,0.0,0.1111,0.0,False
▲石田,場×距離帯×馬場,新潟/ダ/マイル(1401-1800),9,0,1,0.0,0.1111,0.0,False
木幡初,場×距離帯×馬場,新潟/ダ/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
▲石田,距離帯,中距離(1801-2200),9,0,0,0.0,0.0,0.0,False
▲上里,脚質×距離帯,先行/短距離(~1400),9,0,0,0.0,0.0,0.0,False
加藤,脚質,先行,9,0,1,0.0,0.1111,0.0,False
渡辺竜,場,中京,9,0,0,0.0,0.0,0.0,False
遠藤,枠番,中枠(3-6),9,0,0,0.0,0.0,0.0,False
柴田善,脚質×距離帯,差し/短距離(~1400),9,0,0,0.0,0.0,0.0,False
▲大久保,距離帯,短距離(~1400),9,0,0,0.0,0.0,0.0,False
富田,距離帯,長距離(2201~),9,0,3,0.0,0.3333,0.0,False
鮫島駿,脚質,追込,9,0,2,0.0,0.2222,0.0,False
矢野貴,枠番,中枠(3-6),9,0,0,0.0,0.0,0.0,False
原田和,脚質×距離帯,先行/マイル(1401-1800),9,0,1,0.0,0.1111,0.0,False
プーシ,場×距離帯×馬場,東京/芝/マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
Cデム,場,東京,9,0,5,0.0,0.5556,0.0,False
森田,距離帯,マイル(1401-1800),9,0,0,0.0,0.0,0.0,False
柴田善,距離帯,中距離(1801-2200),9,0,0,0.0,0.0,0.0,False
ジェル,脚質,差し,9,0,1,0.0,0.1111,0.0,False
ゴンサ,脚質×距離帯,先行/短距離(~1400),9,0,1,0.0,0.1111,0.0,False
△石神道,脚質,先行,9,0,0,0.0,0.0,0.0,False
北村友,脚質×距離帯,追込/短距離(~1400),8,0,1,0.0,0.125,0.0,False
Aルメ,脚質,先行,8,0,1,0.0,0.125,0.0,False
古川吉,脚質×距離帯,追込/マイル(1401-1800),8,0,2,0.0,0.25,0.0,False
マーカ,場×距離帯×馬場,中山/ダ/マイル(1401-1800),8,0,0,0.0,0.0,0.0,False
横山和,脚質×距離帯,追込/マイル(1401-1800),8,0,1,0.0,0.125,0.0,False
菊沢,場×距離帯×馬場,中山/芝/中距離(1801-2200),8,0,0,0.0,0.0,0.0,False
宮崎,距離帯,短距離(~1400),8,0,0,0.0,0.0,0.0,False
内田博,脚質×距離帯,追込/短距離(~1400),8,0,1,0.0,0.125,0.0,False
水口,距離帯,マイル(1401-1800),8,0,3,0.0,0.375,0.0,False
Mデム,脚質×距離帯,先行/中距離(1801-2200),8,0,0,0.0,0.0,0.0,False
△吉村,脚質,差し,8,0,0,0.0,0.0,0.0,False
永島,脚質×距離帯,差し/マイル(1401-1800),8,0,1,0.0,0.125,0.0,False
マーカ,脚質×距離帯,差し/短距離(~1400),8,0,3,0.0,0.375,0.0,False
加藤,距離帯,マイル(1401-1800),8,0,0,0.0,0.0,0.0,False
江田照,場×距離帯×馬場,中山/ダ/マイル(1401-1800),8,0,1,0.0,0.125,0.0,False
菊沢,場×距離帯×馬場,中山/芝/マイル(1401-1800),8,0,1,0.0,0.125,0.0,False
城戸,枠番,内枠(1-2),8,0,0,0.0,0.0,0.0,False
古川吉,脚質×距離帯,追込/短距離(~1400),8,0,1,0.0,0.125,0.0,False
嶋田,場×距離帯×馬場,中山/芝/マイル(1401-1800),8,0,0,0.0,0.0,0.0,False
太宰,場×距離帯×馬場,中京/ダ/マイル(1401-1800),8,0,0,0.0,0.0,0.0,False
柴田大,距離帯,長距離(2201~),8,0,1,0.0,0.125,0.0,False
マーカ,距離帯,長距離(2201~),8,0,1,0.0,0.125,0.0,False
☆横山琉,場,中山,8,0,0,0.0,0.0,0.0,False
☆横山琉,脚質×距離帯,差し/マイル(1401-1800),8,0,1,0.0,0.125,0.0,False
秋山稔,場×距離帯×馬場,中京/ダ/マイル(1401-1800),8,0,0,0.0,0.0,0.0,False
角田和,場×距離帯×馬場,中京/芝/マイル(1401-1800),8,0,0,0.0,0.0,0.0,False
江田照,場×距離帯×馬場,中山/芝/短距離(~1400),8,0,1,0.0,0.125,0.0,False
的場,場,中山,8,0,0,0.0,0.0,0.0,False
岩部,距離帯,マイル(1401-1800),8,0,1,0.0,0.125,0.0,False
野中,脚質×距離帯,追込/マイル(1401-1800),8,0,0,0.0,0.0,0.0,False
野中,場×距離帯×馬場,中山/芝/マイル(1401-1800),8,0,0,0.0,0.0,0.0,False
永島,場×距離帯×馬場,小倉/芝/短距離(~1400),8,0,0,0.0,0.0,0.0,False
永島,脚質×距離帯,追込/短距離(~1400),8,0,1,0.0,0.125,0.0,False
荻野極,場×距離帯×馬場,小倉/芝/中距離(1801-2200),8,0,1,0.0,0.125,0.0,False
川須,場×距離帯×馬場,中京/芝/短距離(~1400),8,0,1,0.0,0.125,0.0,False
荻野琢,距離帯,長距離(2201~),8,0,0,0.0,0.0,0.0,False
田口,距離帯,長距離(2201~),8,0,0,0.0,0.0,0.0,False
石田,脚質×距離帯,差し/マイル(1401-1800),8,0,0,0.0,0.0,0.0,False
高倉,場×距離帯×馬場,小倉/芝/短距離(~1400),8,0,0,0.0,0.0,0.0,False
菅原明,場×距離帯×馬場,東京/芝/中距離(1801-2200),8,0,1,0.0,0.125,0.0,False
国分優,場×距離帯×馬場,京都/芝/短距離(~1400),8,0,1,0.0,0.125,0.0,False
的場,場,小倉,8,0,0,0.0,0.0,0.0,False
川須,場×距離帯×馬場,小倉/芝/短距離(~1400),8,0,2,0.0,0.25,0.0,False
丸山,脚質×距離帯,先行/中距離(1801-2200),8,0,2,0.0,0.25,0.0,False
佐藤,脚質×距離帯,差し/短距離(~1400),8,0,2,0.0,0.25,0.0,False
