date,stem,band,kind,width,points,invest,ret
2025-01-11,2025-01-11_中山11R_迎春S,3倍以上,馬連,3,3,300,0
2025-01-11,2025-01-11_中山11R_迎春S,3倍以上,馬連,4,6,600,0
2025-01-11,2025-01-11_中山11R_迎春S,3倍以上,馬連,5,10,1000,0
2025-01-11,2025-01-11_中山11R_迎春S,3倍以上,馬連,6,15,1500,0
2025-01-11,2025-01-11_中山12R_4歳以上2勝クラス,3倍以上,ワイド,3,3,300,260
2025-01-11,2025-01-11_中山12R_4歳以上2勝クラス,3倍以上,ワイド,4,6,600,260
2025-01-11,2025-01-11_中山12R_4歳以上2勝クラス,3倍以上,ワイド,5,10,1000,830
2025-01-11,2025-01-11_中山12R_4歳以上2勝クラス,3倍以上,ワイド,6,15,1500,830
2025-01-11,2025-01-11_中山12R_4歳以上2勝クラス,3倍以上,馬連,3,3,300,0
2025-01-11,2025-01-11_中山12R_4歳以上2勝クラス,3倍以上,馬連,4,6,600,0
2025-01-11,2025-01-11_中山12R_4歳以上2勝クラス,3倍以上,馬連,5,10,1000,830
2025-01-11,2025-01-11_中山12R_4歳以上2勝クラス,3倍以上,馬連,6,15,1500,830
2025-01-12,2025-01-12_中京09R_天白川特別,1倍台,ワイド,3,3,300,0
2025-01-12,2025-01-12_中京09R_天白川特別,1倍台,ワイド,4,6,600,0
2025-01-12,2025-01-12_中京09R_天白川特別,1倍台,ワイド,5,10,1000,170
2025-01-12,2025-01-12_中京09R_天白川特別,1倍台,ワイド,6,15,1500,170
2025-01-12,2025-01-12_中京09R_天白川特別,1倍台,馬連,3,3,300,0
2025-01-12,2025-01-12_中京09R_天白川特別,1倍台,馬連,4,6,600,0
2025-01-12,2025-01-12_中京09R_天白川特別,1倍台,馬連,5,10,1000,310
2025-01-12,2025-01-12_中京09R_天白川特別,1倍台,馬連,6,15,1500,310
2025-01-12,2025-01-12_中京10R_新春S,1倍台,ワイド,3,3,300,0
2025-01-12,2025-01-12_中京10R_新春S,1倍台,ワイド,4,6,600,290
2025-01-12,2025-01-12_中京10R_新春S,1倍台,ワイド,5,10,1000,290
2025-01-12,2025-01-12_中京10R_新春S,1倍台,ワイド,6,15,1500,290
2025-01-12,2025-01-12_中京10R_新春S,1倍台,馬連,3,3,300,0
2025-01-12,2025-01-12_中京10R_新春S,1倍台,馬連,4,6,600,0
2025-01-12,2025-01-12_中京10R_新春S,1倍台,馬連,5,10,1000,0
2025-01-12,2025-01-12_中京10R_新春S,1倍台,馬連,6,15,1500,0
2025-01-12,2025-01-12_中京11R_淀短距離S,1倍台,ワイド,3,3,300,0
2025-01-12,2025-01-12_中京11R_淀短距離S,1倍台,ワイド,4,6,600,0
2025-01-12,2025-01-12_中京11R_淀短距離S,1倍台,ワイド,5,10,1000,0
2025-01-12,2025-01-12_中京11R_淀短距離S,1倍台,ワイド,6,15,1500,0
2025-01-12,2025-01-12_中京11R_淀短距離S,1倍台,馬連,3,3,300,0
2025-01-12,2025-01-12_中京11R_淀短距離S,1倍台,馬連,4,6,600,0
2025-01-12,2025-01-12_中京11R_淀短距離S,1倍台,馬連,5,10,1000,0
2025-01-12,2025-01-12_中京11R_淀短距離S,1倍台,馬連,6,15,1500,0
2025-01-12,2025-01-12_中京12R_4歳以上1勝クラス,2倍台,ワイド,3,3,300,0
2025-01-12,2025-01-12_中京12R_4歳以上1勝クラス,2倍台,ワイド,4,6,600,0
2025-01-12,2025-01-12_中京12R_4歳以上1勝クラス,2倍台,ワイド,5,10,1000,1100
2025-01-12,2025-01-12_中京12R_4歳以上1勝クラス,2倍台,ワイド,6,15,1500,2100
2025-01-12,2025-01-12_中京12R_4歳以上1勝クラス,2倍台,馬連,3,3,300,0
2025-01-12,2025-01-12_中京12R_4歳以上1勝クラス,2倍台,馬連,4,6,600,0
2025-01-12,2025-01-12_中京12R_4歳以上1勝クラス,2倍台,馬連,5,10,1000,0
2025-01-12,2025-01-12_中京12R_4歳以上1勝クラス,2倍台,馬連,6,15,1500,560
2025-01-12,2025-01-12_中山09R_初咲賞,3倍以上,ワイド,3,3,300,320
2025-01-12,2025-01-12_中山09R_初咲賞,3倍以上,ワイド,4,6,600,320
2025-01-12,2025-01-12_中山09R_初咲賞,3倍以上,ワイド,5,10,1000,320
2025-01-12,2025-01-12_中山09R_初咲賞,3倍以上,ワイド,6,15,1500,320
2025-01-12,2025-01-12_中山09R_初咲賞,3倍以上,馬連,3,3,300,820
2025-01-12,2025-01-12_中山09R_初咲賞,3倍以上,馬連,4,6,600,820
2025-01-12,2025-01-12_中山09R_初咲賞,3倍以上,馬連,5,10,1000,820
2025-01-12,2025-01-12_中山09R_初咲賞,3倍以上,馬連,6,15,1500,820
2025-01-12,2025-01-12_中山10R_ポルックスS,3倍以上,ワイド,3,3,300,380
2025-01-12,2025-01-12_中山10R_ポルックスS,3倍以上,ワイド,4,6,600,380
2025-01-12,2025-01-12_中山10R_ポルックスS,3倍以上,ワイド,5,10,1000,380
2025-01-12,2025-01-12_中山10R_ポルックスS,3倍以上,ワイド,6,15,1500,380
2025-01-12,2025-01-12_中山10R_ポルックスS,3倍以上,馬連,3,3,300,920
2025-01-12,2025-01-12_中山10R_ポルックスS,3倍以上,馬連,4,6,600,920
2025-01-12,2025-01-12_中山10R_ポルックスS,3倍以上,馬連,5,10,1000,920
2025-01-12,2025-01-12_中山10R_ポルックスS,3倍以上,馬連,6,15,1500,920
2025-01-12,2025-01-12_中山11R_フェアリーS,3倍以上,ワイド,3,3,300,0
2025-01-12,2025-01-12_中山11R_フェアリーS,3倍以上,ワイド,4,6,600,0
2025-01-12,2025-01-12_中山11R_フェアリーS,3倍以上,ワイド,5,10,1000,0
2025-01-12,2025-01-12_中山11R_フェアリーS,3倍以上,ワイド,6,15,1500,0
2025-01-12,2025-01-12_中山11R_フェアリーS,3倍以上,馬連,3,3,300,0
2025-01-12,2025-01-12_中山11R_フェアリーS,3倍以上,馬連,4,6,600,0
2025-01-12,2025-01-12_中山11R_フェアリーS,3倍以上,馬連,5,10,1000,0
2025-01-12,2025-01-12_中山11R_フェアリーS,3倍以上,馬連,6,15,1500,0
2025-01-12,2025-01-12_中山12R_4歳以上2勝クラス,2倍台,ワイド,3,3,300,1310
2025-01-12,2025-01-12_中山12R_4歳以上2勝クラス,2倍台,ワイド,4,6,600,1310
2025-01-12,2025-01-12_中山12R_4歳以上2勝クラス,2倍台,ワイド,5,10,1000,1310
2025-01-12,2025-01-12_中山12R_4歳以上2勝クラス,2倍台,ワイド,6,15,1500,1310
2025-01-12,2025-01-12_中山12R_4歳以上2勝クラス,2倍台,馬連,3,3,300,850
2025-01-12,2025-01-12_中山12R_4歳以上2勝クラス,2倍台,馬連,4,6,600,850
2025-01-12,2025-01-12_中山12R_4歳以上2勝クラス,2倍台,馬連,5,10,1000,850
2025-01-12,2025-01-12_中山12R_4歳以上2勝クラス,2倍台,馬連,6,15,1500,850
2025-01-13,2025-01-13_中京09R_鳥羽特別,3倍以上,ワイド,3,3,300,0
2025-01-13,2025-01-13_中京09R_鳥羽特別,3倍以上,ワイド,4,6,600,0
2025-01-13,2025-01-13_中京09R_鳥羽特別,3倍以上,ワイド,5,10,1000,540
2025-01-13,2025-01-13_中京09R_鳥羽特別,3倍以上,ワイド,6,15,1500,540
2025-01-13,2025-01-13_中京09R_鳥羽特別,3倍以上,馬連,3,3,300,0
2025-01-13,2025-01-13_中京09R_鳥羽特別,3倍以上,馬連,4,6,600,0
2025-01-13,2025-01-13_中京09R_鳥羽特別,3倍以上,馬連,5,10,1000,0
2025-01-13,2025-01-13_中京09R_鳥羽特別,3倍以上,馬連,6,15,1500,0
2025-01-13,2025-01-13_中京10R_雅S,2倍台,ワイド,3,3,300,0
2025-01-13,2025-01-13_中京10R_雅S,2倍台,ワイド,4,6,600,0
2025-01-13,2025-01-13_中京10R_雅S,2倍台,ワイド,5,10,1000,0
2025-01-13,2025-01-13_中京10R_雅S,2倍台,ワイド,6,15,1500,570
2025-01-13,2025-01-13_中京10R_雅S,2倍台,馬連,3,3,300,0
2025-01-13,2025-01-13_中京10R_雅S,2倍台,馬連,4,6,600,0
2025-01-13,2025-01-13_中京10R_雅S,2倍台,馬連,5,10,1000,0
2025-01-13,2025-01-13_中京10R_雅S,2倍台,馬連,6,15,1500,1110
2025-01-13,2025-01-13_中京11R_シンザン記念,3倍以上,ワイド,3,3,300,0
2025-01-13,2025-01-13_中京11R_シンザン記念,3倍以上,ワイド,4,6,600,0
2025-01-13,2025-01-13_中京11R_シンザン記念,3倍以上,ワイド,5,10,1000,0
2025-01-13,2025-01-13_中京11R_シンザン記念,3倍以上,ワイド,6,15,1500,0
2025-01-13,2025-01-13_中京11R_シンザン記念,3倍以上,馬連,3,3,300,0
2025-01-13,2025-01-13_中京11R_シンザン記念,3倍以上,馬連,4,6,600,0
2025-01-13,2025-01-13_中京11R_シンザン記念,3倍以上,馬連,5,10,1000,0
2025-01-13,2025-01-13_中京11R_シンザン記念,3倍以上,馬連,6,15,1500,0
2025-01-13,2025-01-13_中京12R_4歳以上2勝クラス,3倍以上,ワイド,3,3,300,0
2025-01-13,2025-01-13_中京12R_4歳以上2勝クラス,3倍以上,ワイド,4,6,600,0
2025-01-13,2025-01-13_中京12R_4歳以上2勝クラス,3倍以上,ワイド,5,10,1000,0
2025-01-13,2025-01-13_中京12R_4歳以上2勝クラス,3倍以上,ワイド,6,15,1500,0
2025-01-13,2025-01-13_中京12R_4歳以上2勝クラス,3倍以上,馬連,3,3,300,0
2025-01-13,2025-01-13_中京12R_4歳以上2勝クラス,3倍以上,馬連,4,6,600,0
2025-01-13,2025-01-13_中京12R_4歳以上2勝クラス,3倍以上,馬連,5,10,1000,0
2025-01-13,2025-01-13_中京12R_4歳以上2勝クラス,3倍以上,馬連,6,15,1500,0
2025-01-13,2025-01-13_中山09R_成田特別,3倍以上,ワイド,3,3,300,420
2025-01-13,2025-01-13_中山09R_成田特別,3倍以上,ワイド,4,6,600,420
2025-01-13,2025-01-13_中山09R_成田特別,3倍以上,ワイド,5,10,1000,420
2025-01-13,2025-01-13_中山09R_成田特別,3倍以上,ワイド,6,15,1500,2030
2025-01-13,2025-01-13_中山09R_成田特別,3倍以上,馬連,3,3,300,1250
2025-01-13,2025-01-13_中山09R_成田特別,3倍以上,馬連,4,6,600,1250
2025-01-13,2025-01-13_中山09R_成田特別,3倍以上,馬連,5,10,1000,1250
2025-01-13,2025-01-13_中山09R_成田特別,3倍以上,馬連,6,15,1500,1250
2025-01-13,2025-01-13_中山10R_初春S,2倍台,ワイド,3,3,300,0
2025-01-13,2025-01-13_中山10R_初春S,2倍台,ワイド,4,6,600,0
2025-01-13,2025-01-13_中山10R_初春S,2倍台,ワイド,5,10,1000,0
2025-01-13,2025-01-13_中山10R_初春S,2倍台,ワイド,6,15,1500,2110
2025-01-13,2025-01-13_中山10R_初春S,2倍台,馬連,3,3,300,0
2025-01-13,2025-01-13_中山10R_初春S,2倍台,馬連,4,6,600,0
2025-01-13,2025-01-13_中山10R_初春S,2倍台,馬連,5,10,1000,0
2025-01-13,2025-01-13_中山10R_初春S,2倍台,馬連,6,15,1500,0
2025-01-13,2025-01-13_中山11R_ニューイヤーS,2倍台,ワイド,3,3,300,0
2025-01-13,2025-01-13_中山11R_ニューイヤーS,2倍台,ワイド,4,6,600,0
2025-01-13,2025-01-13_中山11R_ニューイヤーS,2倍台,ワイド,5,10,1000,0
2025-01-13,2025-01-13_中山11R_ニューイヤーS,2倍台,ワイド,6,15,1500,550
2025-01-13,2025-01-13_中山11R_ニューイヤーS,2倍台,馬連,3,3,300,0
