日付,場,馬場種別,馬場差,レース数
2024-04-20,東京,ダ,-0.50,2
2024-04-20,東京,芝,-1.35,2
2024-04-20,福島,ダ,-0.70,2
2024-04-20,福島,芝,-1.35,2
2024-04-21,京都,芝,+0.00,3
2024-04-21,東京,ダ,-0.40,2
2024-04-21,東京,芝,-0.65,2
2024-04-21,福島,芝,-2.30,3
2024-04-27,京都,ダ,-0.85,2
2024-04-27,京都,芝,-0.60,2
2024-04-27,新潟,ダ,-2.05,2
2024-04-27,新潟,芝,-0.30,2
2024-04-27,東京,ダ,-1.25,2
2024-04-27,東京,芝,-1.75,2
2024-04-28,京都,ダ,-0.45,2
2024-04-28,京都,芝,-1.30,2
2024-04-28,新潟,ダ,-0.90,2
2024-04-28,新潟,芝,-1.30,2
2024-04-28,東京,ダ,-1.35,2
2024-04-28,東京,芝,-0.00,2
2024-05-04,京都,芝,-2.60,3
2024-05-04,新潟,芝,-1.10,3
2024-05-04,東京,ダ,-0.60,2
2024-05-04,東京,芝,-1.25,2
2024-05-05,京都,芝,-1.70,3
2024-05-05,新潟,ダ,-0.65,2
2024-05-05,新潟,芝,-1.35,2
2024-05-05,東京,ダ,-1.60,2
2024-05-05,東京,芝,-1.15,2
2024-05-11,京都,ダ,-0.70,2
2024-05-11,京都,芝,-2.30,2
2024-05-11,新潟,芝,+0.00,3
2024-05-11,東京,芝,-0.80,3
2024-05-12,京都,ダ,-0.75,2
2024-05-12,京都,芝,-0.20,2
2024-05-12,新潟,芝,+0.20,3
2024-05-12,東京,ダ,-1.00,2
2024-05-12,東京,芝,-1.30,2
2024-05-18,京都,ダ,-1.55,2
2024-05-18,京都,芝,-1.80,2
2024-05-18,新潟,芝,-0.40,3
2024-05-18,東京,芝,-0.20,3
2024-05-19,京都,ダ,-0.50,3
2024-05-19,新潟,ダ,-1.45,2
2024-05-19,新潟,芝,-0.50,2
2024-05-19,東京,ダ,-0.55,2
2024-05-19,東京,芝,-1.35,2
2024-05-25,京都,ダ,-1.50,2
2024-05-25,京都,芝,-1.55,2
2024-05-25,東京,ダ,-1.20,3
2024-05-26,京都,芝,-0.50,3
2024-05-26,東京,芝,-1.50,3
2024-06-01,京都,ダ,-0.70,3
2024-06-01,東京,ダ,-1.25,2
2024-06-01,東京,芝,-0.25,2
2024-06-02,京都,芝,-1.00,3
2024-06-02,東京,ダ,-2.45,2
2024-06-02,東京,芝,-1.15,2
2024-06-08,京都,ダ,-0.70,2
2024-06-08,京都,芝,-1.85,2
2024-06-08,函館,芝,-1.40,3
2024-06-08,東京,ダ,-0.75,2
2024-06-08,東京,芝,-0.80,2
2024-06-09,京都,ダ,-1.55,2
2024-06-09,京都,芝,+0.95,2
2024-06-09,函館,ダ,-2.20,2
2024-06-09,函館,芝,-0.80,2
2024-06-09,東京,ダ,-0.95,2
2024-06-09,東京,芝,-1.35,2
2024-06-15,京都,芝,-2.70,3
2024-06-15,函館,芝,-0.90,3
2024-06-15,東京,ダ,-1.15,2
2024-06-15,東京,芝,-1.25,2
2024-06-16,京都,ダ,-0.05,2
2024-06-16,京都,芝,-2.25,2
2024-06-16,函館,芝,-0.50,3
2024-06-16,東京,芝,-0.90,3
2024-06-22,京都,ダ,-1.90,2
2024-06-22,京都,芝,-1.20,2
2024-06-22,函館,ダ,-0.65,2
2024-06-22,函館,芝,-0.80,2
2024-06-22,東京,ダ,-2.15,2
2024-06-22,東京,芝,-0.45,2
2024-06-23,京都,ダ,-1.90,2
2024-06-23,京都,芝,-1.05,2
2024-06-23,函館,芝,-0.60,3
2024-06-23,東京,ダ,-2.50,2
2024-06-23,東京,芝,-0.15,2
2024-06-29,函館,芝,-0.80,3
2024-06-29,小倉,芝,-1.80,3
2024-06-29,福島,芝,-2.80,3
2024-06-30,函館,ダ,-0.60,2
2024-06-30,函館,芝,-1.15,2
2024-06-30,小倉,ダ,-2.55,2
2024-06-30,小倉,芝,-0.65,2
2024-06-30,福島,芝,-1.30,3
2024-07-06,函館,芝,+0.70,3
2024-07-06,小倉,ダ,-0.95,2
2024-07-06,小倉,芝,-3.30,2
2024-07-06,福島,ダ,-1.60,2
2024-07-06,福島,芝,-1.40,2
2024-07-07,函館,芝,+0.80,3
2024-07-07,小倉,ダ,-2.00,2
2024-07-07,小倉,芝,-1.35,2
2024-07-07,福島,ダ,-1.15,2
2024-07-07,福島,芝,-1.75,2
2024-07-13,函館,芝,+0.30,3
2024-07-13,小倉,ダ,-1.85,2
2024-07-13,小倉,芝,-0.90,2
2024-07-13,福島,芝,-1.30,3
2024-07-14,函館,芝,+0.40,3
2024-07-14,小倉,ダ,-2.55,2
2024-07-14,小倉,芝,+0.50,2
2024-07-14,福島,ダ,-0.30,2
2024-07-14,福島,芝,-0.70,2
2024-07-20,小倉,芝,-0.90,3
2024-07-20,札幌,芝,-1.95,3
2024-07-20,福島,ダ,-1.15,2
2024-07-20,福島,芝,-0.80,2
2024-07-21,小倉,芝,-1.00,3
2024-07-21,札幌,芝,-1.25,3
2024-07-21,福島,ダ,-1.90,2
2024-07-21,福島,芝,-0.85,2
